question_ID,compound.name_1,SMILES_1,compound.name_2,SMILES_2,OPTIONS,question_category,prompt.1,prompt.2,answer,other_info
11,"1,1-diethoxyethane",CCOC(C)OCC,"3,4-dihydrochromen-2-one",C1CC(=O)OC2=CC=CC=C21,"{CCOC(C)OCC;1,1-diethoxyethane};{C1CC(=O)OC2=CC=CC=C21;3,4-dihydrochromen-2-one}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCOC(C)OCC or C1CC(=O)OC2=CC=CC=C21? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 1,1-diethoxyethane or 3,4-dihydrochromen-2-one? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","C1CC(=O)OC2=CC=CC=C21;3,4-dihydrochromen-2-one",SMILES_1 PLEASANTNESS=42.135135135;SMILES_2 PLEASANTNESS=64.0
12,4-methylphenol,CC1=CC=C(C=C1)O,2-pyrazin-2-ylethanethiol,C1=CN=C(C=N1)CCS,{CC1=CC=C(C=C1)O;4-methylphenol};{C1=CN=C(C=N1)CCS;2-pyrazin-2-ylethanethiol},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC1=CC=C(C=C1)O or C1=CN=C(C=N1)CCS? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 4-methylphenol or 2-pyrazin-2-ylethanethiol? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",C1=CN=C(C=N1)CCS;2-pyrazin-2-ylethanethiol,SMILES_1 PLEASANTNESS=33.083333333;SMILES_2 PLEASANTNESS=45.571428571
13,"butane-2,3-dione",CC(=O)C(=O)C,hexyl propanoate,CCCCCCOC(=O)CC,"{CC(=O)C(=O)C;butane-2,3-dione};{CCCCCCOC(=O)CC;hexyl propanoate}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(=O)C(=O)C or CCCCCCOC(=O)CC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: butane-2,3-dione or hexyl propanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCCOC(=O)CC;hexyl propanoate,SMILES_1 PLEASANTNESS=26.270833333;SMILES_2 PLEASANTNESS=53.733333333
14,3-methylbutane-1-thiol,CC(C)CCS,ethyl pentanoate,CCCCC(=O)OCC,{CC(C)CCS;3-methylbutane-1-thiol};{CCCCC(=O)OCC;ethyl pentanoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(C)CCS or CCCCC(=O)OCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 3-methylbutane-1-thiol or ethyl pentanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCC(=O)OCC;ethyl pentanoate,SMILES_1 PLEASANTNESS=14.12244898;SMILES_2 PLEASANTNESS=72.125
15,3-sulfanylbutan-2-ol,CC(C(C)S)O,prop-2-enyl 3-cyclohexylpropanoate,C=CCOC(=O)CCC1CCCCC1,{CC(C(C)S)O;3-sulfanylbutan-2-ol};{C=CCOC(=O)CCC1CCCCC1;prop-2-enyl 3-cyclohexylpropanoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CC(C(C)S)O or C=CCOC(=O)CCC1CCCCC1? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 3-sulfanylbutan-2-ol or prop-2-enyl 3-cyclohexylpropanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",C=CCOC(=O)CCC1CCCCC1;prop-2-enyl 3-cyclohexylpropanoate,SMILES_1 PLEASANTNESS=41.5;SMILES_2 PLEASANTNESS=59.446808511
16,7-methoxychromen-2-one,COC1=CC2=C(C=C1)C=CC(=O)O2,undecane,CCCCCCCCCCC,{COC1=CC2=C(C=C1)C=CC(=O)O2;7-methoxychromen-2-one};{CCCCCCCCCCC;undecane},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: COC1=CC2=C(C=C1)C=CC(=O)O2 or CCCCCCCCCCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 7-methoxychromen-2-one or undecane? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",COC1=CC2=C(C=C1)C=CC(=O)O2;7-methoxychromen-2-one,SMILES_1 PLEASANTNESS=59.875;SMILES_2 PLEASANTNESS=33.0
17,"2-hydroxypropane-1,2,3-tricarboxylic acid",C(C(=O)O)C(CC(=O)O)(C(=O)O)O,2-hydroxybenzaldehyde,C1=CC=C(C(=C1)C=O)O,"{C(C(=O)O)C(CC(=O)O)(C(=O)O)O;2-hydroxypropane-1,2,3-tricarboxylic acid};{C1=CC=C(C(=C1)C=O)O;2-hydroxybenzaldehyde}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C(C(=O)O)C(CC(=O)O)(C(=O)O)O or C1=CC=C(C(=C1)C=O)O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 2-hydroxypropane-1,2,3-tricarboxylic acid or 2-hydroxybenzaldehyde? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","C(C(=O)O)C(CC(=O)O)(C(=O)O)O;2-hydroxypropane-1,2,3-tricarboxylic acid",SMILES_1 PLEASANTNESS=53.038461538;SMILES_2 PLEASANTNESS=29.659574468
18,ethyl 3-hydroxyhexanoate,CCCC(CC(=O)OCC)O,2-(furan-2-ylmethylsulfanylmethyl)furan,C1=COC(=C1)CSCC2=CC=CO2,{CCCC(CC(=O)OCC)O;ethyl 3-hydroxyhexanoate};{C1=COC(=C1)CSCC2=CC=CO2;2-(furan-2-ylmethylsulfanylmethyl)furan},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCC(CC(=O)OCC)O or C1=COC(=C1)CSCC2=CC=CO2? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: ethyl 3-hydroxyhexanoate or 2-(furan-2-ylmethylsulfanylmethyl)furan? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCC(CC(=O)OCC)O;ethyl 3-hydroxyhexanoate,SMILES_1 PLEASANTNESS=48.734693878;SMILES_2 PLEASANTNESS=19.8125
19,octan-3-ol,CCCCCC(CC)O,(4-formyl-2-methoxyphenyl) acetate,CC(=O)OC1=C(C=C(C=C1)C=O)OC,{CCCCCC(CC)O;octan-3-ol};{CC(=O)OC1=C(C=C(C=C1)C=O)OC;(4-formyl-2-methoxyphenyl) acetate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCCC(CC)O or CC(=O)OC1=C(C=C(C=C1)C=O)OC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: octan-3-ol or (4-formyl-2-methoxyphenyl) acetate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CC(=O)OC1=C(C=C(C=C1)C=O)OC;(4-formyl-2-methoxyphenyl) acetate,SMILES_1 PLEASANTNESS=38.979591837;SMILES_2 PLEASANTNESS=73.760869565
20,3-phenylpropyl propanoate,CCC(=O)OCCCC1=CC=CC=C1,pentyl butanoate,CCCCCOC(=O)CCC,{CCC(=O)OCCCC1=CC=CC=C1;3-phenylpropyl propanoate};{CCCCCOC(=O)CCC;pentyl butanoate},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCC(=O)OCCCC1=CC=CC=C1 or CCCCCOC(=O)CCC? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: 3-phenylpropyl propanoate or pentyl butanoate? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCOC(=O)CCC;pentyl butanoate,SMILES_1 PLEASANTNESS=34.595238095;SMILES_2 PLEASANTNESS=56.088888889
21,cyclopentanethiol,C1CCC(C1)S,2-ethyl-4-hydroxy-3-methyl-2H-furan-5-one,CCC1C(=C(C(=O)O1)O)C,{C1CCC(C1)S;cyclopentanethiol};{CCC1C(=C(C(=O)O1)O)C;2-ethyl-4-hydroxy-3-methyl-2H-furan-5-one},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: C1CCC(C1)S or CCC1C(=C(C(=O)O1)O)C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: cyclopentanethiol or 2-ethyl-4-hydroxy-3-methyl-2H-furan-5-one? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCC1C(=C(C(=O)O1)O)C;2-ethyl-4-hydroxy-3-methyl-2H-furan-5-one,SMILES_1 PLEASANTNESS=16.8125;SMILES_2 PLEASANTNESS=59.815384615
22,methyl 2-aminobenzoate,COC(=O)C1=CC=CC=C1N,"2,5-dimethylpyrazine",CC1=CN=C(C=N1)C,"{COC(=O)C1=CC=CC=C1N;methyl 2-aminobenzoate};{CC1=CN=C(C=N1)C;2,5-dimethylpyrazine}",odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: COC(=O)C1=CC=CC=C1N or CC1=CN=C(C=N1)C? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: methyl 2-aminobenzoate or 2,5-dimethylpyrazine? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",COC(=O)C1=CC=CC=C1N;methyl 2-aminobenzoate,SMILES_1 PLEASANTNESS=65.416666667;SMILES_2 PLEASANTNESS=38.710526316
23,octan-3-yl acetate,CCCCCC(CC)OC(=O)C,3-methylbutanoic acid,CC(C)CC(=O)O,{CCCCCC(CC)OC(=O)C;octan-3-yl acetate};{CC(C)CC(=O)O;3-methylbutanoic acid},odor_pleasantness,"Which molecule is likely to smell more pleasant to humans: CCCCCC(CC)OC(=O)C or CC(C)CC(=O)O? Select only one of the SMILES. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.","Which molecule is likely to smell more pleasant to humans: octan-3-yl acetate or 3-methylbutanoic acid? Select only one of the compound names. If you had to rate the pleasantness of these molecules from 0 (extremely unpleasant) to 100 (highly pleasant), what would you assign to each? Respond with the selected compound name (the one with higher pleasantness), followed by two pleasantness values in the order the molecules are listed. Use semicolons (;) as separators. Do not write any comments.",CCCCCC(CC)OC(=O)C;octan-3-yl acetate,SMILES_1 PLEASANTNESS=44.591836735;SMILES_2 PLEASANTNESS=13.604166667
